year,Atm,Nep,Min,Sed,Neptot,EntrEpi,EntrHyp,id
2000,0.7051409244668226,-27.03514310975853,390.53677720775283,373.0423847698243,736.5440188678186,64.09135286486968,-45.801058621619966,Crystal
2001,-6.382123757872252,-109.60744388759825,550.3880553476107,423.5774016178818,864.3580130778942,62.77515074252725,-31.280605320715605,Crystal
2002,-30.237257919348966,-92.11126509043119,556.3029109984399,439.07498687100093,903.2666327790096,16.919488246009646,37.95966117511763,Crystal
2003,57.60584864565534,-49.35274478773649,366.1232727210769,382.34250299028,699.1130309236205,44.536735026122294,-16.022395495042524,Crystal
2004,-68.05649050454446,-0.12118701320015107,446.95418712793156,371.1467695260024,817.9797696407338,42.08618897370465,-21.278352427832573,Crystal
2005,-69.99481088052924,112.08812834969923,302.5122690373549,354.8565423764675,769.4569397635216,-9.036246501109414,14.708271324986152,Crystal
2006,-32.44381950071365,201.48075897271767,184.11708571073538,357.2408724707132,742.8387171541663,-9.811251409499647,36.628176179448914,Crystal
2007,-61.96410341100992,105.95302258051326,270.68729996832866,321.92350390799356,698.5638264568355,9.627207536242434,-1.7491789994461624,Crystal
2008,60.90626656398255,63.58360320695172,174.7254703463471,295.2462002303827,533.5552737836815,-9.074586643233719,15.594019160913783,Crystal
2009,13.968504282491404,73.53428526306763,240.5109788029953,321.89391793906486,635.9391820051278,15.467852134694288,-3.083006407052829,Crystal
2010,20.332938528781554,78.18731263596517,210.2777888982191,310.8902803382712,599.3553818724555,-17.251979988990996,22.76802569911611,Crystal
2011,84.60680653329712,59.48311552526257,131.84468725468903,283.1955998136412,474.5234025935928,5.89439757925862,11.235993595180133,Crystal
2012,116.35829699838543,-22.367904986540253,141.17680369318956,228.67760726384577,347.48650597049505,-30.723428280524743,37.08371270126774,Crystal
2013,119.87543234402996,-81.15024540313382,170.96764905206857,213.44568174582204,303.2630853947568,-25.23173978029152,41.05446420241182,Crystal
2014,43.34356179769565,-9.14286705090073,174.65666505245076,212.80780272155425,378.3216007231043,-35.73554360889645,37.16327312080295,Crystal
2015,103.84202452835835,64.85463860660717,87.45930095182668,244.47230149940967,396.78624105784354,-51.51307977601222,47.29419080251591,Crystal
2016,25.348474846134234,102.99944796529385,142.0979524924944,277.2817273630473,522.3791278208355,-26.995697774063725,29.786973772956486,Crystal
2017,58.26401147142592,118.03124037721555,183.27678375136682,357.2126309850366,658.5206551136189,-28.385028800774037,54.81205456342998,Crystal
2018,-12.705678087267232,125.23480663667083,237.71819403163866,362.5147995851726,725.4678002534821,-1.8354162217980425,2.99996421086865,Crystal
2019,36.55214070341224,127.98124251565201,168.72151671851876,364.43590879912,661.1386680332907,-16.832152936905256,42.69264052439758,Crystal
1996,148.34641762310702,402.72213580791345,-390.10997048311526,156.80490829690666,169.41707362170484,-152.61169890243235,134.25569131462981,Fish
1997,15.37833242377501,424.6380404965974,-296.5968398011349,135.0509237757754,263.0921244712379,-170.44346267338634,168.8713435619116,Fish
1998,137.46448843910446,259.96700927696287,-251.62555095396763,141.05773574575335,149.39919406874859,-163.85616440904238,141.16136250664871,Fish
1999,157.78366997019847,314.1155890569066,-341.41585237828673,146.05768167395502,118.75741835257486,-203.23210153967173,215.986267874876,Fish
2000,77.62038765701169,345.4074516883337,-289.8048465985177,154.35132485865964,209.95392994847563,-212.62908533577888,184.84564247920767,Fish
2001,404.9749036147754,192.01802654292715,-405.81673873502785,157.05137183825482,-56.747340353845885,-188.88521977715018,171.18080126056867,Fish
2002,-182.69125882483834,566.3424233594241,-256.1872030437574,128.32415764805745,438.4793779637241,-125.32686723214485,132.72583109481653,Fish
