obsdata,simdata,id,type
10340,8884.26749235347,Allequash,Epilimnion
8828.57142857143,7752.197659915182,Allequash,Epilimnion
8338.09523809524,7876.765946830824,Allequash,Epilimnion
8261.90476190476,7675.614056356212,Allequash,Epilimnion
8100,7450.928648399212,Allequash,Epilimnion
8761.90476190476,7642.958942245481,Allequash,Epilimnion
8161.538461538459,7610.957701467441,Allequash,Epilimnion
8761.538461538461,8297.756519327391,Allequash,Epilimnion
8100,8498.435360889402,Allequash,Epilimnion
9000,9225.311084482611,Allequash,Epilimnion
9885.71428571429,10795.96215615218,Allequash,Epilimnion
11000,10263.620465338568,Allequash,Epilimnion
10300,10065.238660407324,Allequash,Epilimnion
8900,7871.246964034271,Allequash,Epilimnion
9119.04761904762,8843.218744014237,Allequash,Epilimnion
9019.04761904762,8464.697823327853,Allequash,Epilimnion
8723.80952380952,8397.792277057933,Allequash,Epilimnion
8500,8069.672679815601,Allequash,Epilimnion
8571.428571428569,8090.16929446391,Allequash,Epilimnion
8628.57142857143,7992.17791004328,Allequash,Epilimnion
9600,8286.990477971172,Allequash,Epilimnion
7800,9005.817291528887,Allequash,Epilimnion
10000,9699.938936459255,Allequash,Epilimnion
12138.0952380952,10596.510634070331,Allequash,Epilimnion
9869.23076923077,9772.70068635566,Allequash,Epilimnion
9593.33333333333,9006.078299223645,Allequash,Epilimnion
8900,8053.639711163143,Allequash,Epilimnion
8600,8050.443105942041,Allequash,Epilimnion
8809.523809523811,8276.73923690359,Allequash,Epilimnion
8340,8510.883881725476,Allequash,Epilimnion
8840,7545.327647545588,Allequash,Epilimnion
8000,7730.871641501727,Allequash,Epilimnion
8300,8166.710116757336,Allequash,Epilimnion
8546.66666666667,8296.510671634107,Allequash,Epilimnion
9009.52380952381,8981.186727947803,Allequash,Epilimnion
10071.4285714286,8780.262666980861,Allequash,Epilimnion
10804.761904761901,10439.717827155651,Allequash,Epilimnion
10319.230769230799,9727.152829116272,Allequash,Epilimnion
8900,8890.55212259928,Allequash,Epilimnion
9261.90476190476,8741.028539498733,Allequash,Epilimnion
8590.47619047619,8351.566942845679,Allequash,Epilimnion
8271.42857142857,8338.653816166845,Allequash,Epilimnion
8046.666666666671,7959.905700949768,Allequash,Epilimnion
9000,7272.442483058549,Allequash,Epilimnion
7853.84615384615,7513.851687228502,Allequash,Epilimnion
7553.33333333333,8267.610510968256,Allequash,Epilimnion
9233.33333333333,8757.196480778772,Allequash,Epilimnion
8713.333333333328,8306.38687677747,Allequash,Epilimnion
11200,9469.635923573953,Allequash,Epilimnion
9900,8873.019895849497,Allequash,Epilimnion
8446.666666666672,9300.385341619272,Allequash,Epilimnion
8600,7797.506187489459,Allequash,Epilimnion
9661.90476190476,8673.732474295532,Allequash,Epilimnion
8800,8281.939411078321,Allequash,Epilimnion
8726.66666666667,8590.273587107478,Allequash,Epilimnion
9319.04761904762,7827.713693821519,Allequash,Epilimnion
8695.238095238099,8755.556455857999,Allequash,Epilimnion
8780,7837.52446164765,Allequash,Epilimnion
10390.4761904762,10262.515838215664,Allequash,Epilimnion
10428.5714285714,10215.715764122577,Allequash,Epilimnion
9640,8777.43004625616,Allequash,Epilimnion
9842.85714285714,8564.59639630093,Allequash,Epilimnion
8828.57142857143,8282.56654168862,Allequash,Epilimnion
7690.47619047619,7849.692280020201,Allequash,Epilimnion
8142.85714285714,8073.610120843974,Allequash,Epilimnion
8100,7752.683310762622,Allequash,Epilimnion
8180.76923076923,8109.646975616204,Allequash,Epilimnion
8569.230769230771,8423.999440556869,Allequash,Epilimnion
9030.76923076923,9088.537955161137,Allequash,Epilimnion
8700,9888.1734930083,Allequash,Epilimnion
10246.6666666667,9672.960487802204,Allequash,Epilimnion
9800,11083.473664452342,Allequash,Epilimnion
10100,9622.864859889813,Allequash,Epilimnion
8833.33333333333,9108.713476819888,Allequash,Epilimnion
9000,8578.90600898576,Allequash,Epilimnion
9071.428571428569,8283.402990702269,Allequash,Epilimnion
8400,7647.913580788018,Allequash,Epilimnion
8171.428571428571,7760.362385000941,Allequash,Epilimnion
8700,7451.15966623813,Allequash,Epilimnion
8571.428571428569,7898.376987604842,Allequash,Epilimnion
8733.33333333333,8303.507508901557,Allequash,Epilimnion
7938.09523809524,9093.976261099546,Allequash,Epilimnion
10546.6666666667,9599.861145460043,Allequash,Epilimnion
10500,10525.281821905492,Allequash,Epilimnion
10000,9106.845195147602,Allequash,Epilimnion
8800,8481.794596151416,Allequash,Epilimnion
8528.57142857143,8395.356820716432,Allequash,Epilimnion
8400,8234.119194648714,Allequash,Epilimnion
7938.09523809524,7877.427527243613,Allequash,Epilimnion
7871.42857142857,7338.081748793727,Allequash,Epilimnion
8269.23076923077,7821.94956354164,Allequash,Epilimnion
8900,8779.5665854262,Allequash,Epilimnion
10190.4761904762,8298.927975447148,Allequash,Epilimnion
7171.42857142857,9529.399852843311,Allequash,Epilimnion
9153.33333333333,9643.233521401433,Allequash,Epilimnion
9857.142857142859,10450.306534146936,Allequash,Epilimnion
10200,8916.27411429583,Allequash,Epilimnion
9190.476190476189,9160.972260710483,Allequash,Epilimnion
8300,7670.820438868283,Allequash,Epilimnion
8042.8571428571395,7530.92265335025,Allequash,Epilimnion
7900,7693.006292577949,Allequash,Epilimnion
8709.523809523811,8471.276330738105,Allequash,Epilimnion
8800,8217.067487064365,Allequash,Epilimnion
8300,7720.535521848915,Allequash,Epilimnion
8471.42857142857,8936.999752977514,Allequash,Epilimnion
8171.428571428571,9420.937220460532,Allequash,Epilimnion
11730.7692307692,9992.5514522624635,Allequash,Epilimnion
9200,8240.91351342154,Allequash,Epilimnion
8300,8994.461503593206,Allequash,Epilimnion
7871.42857142857,8137.387893026097,Allequash,Epilimnion
8438.09523809524,7541.454222003427,Allequash,Epilimnion
8500,8295.081637251145,Allequash,Epilimnion
8038.095238095239,7990.951511395226,Allequash,Epilimnion
8600,7795.54138365352,Allequash,Epilimnion
8600,8464.578494512907,Allequash,Epilimnion
9928.571428571431,9483.923136833311,Allequash,Epilimnion
10219.0476190476,10008.171242329225,Allequash,Epilimnion
9538.09523809524,9332.759440614724,Allequash,Epilimnion
9300,8983.290593334637,Allequash,Epilimnion
9100,8385.289168197407,Allequash,Epilimnion
8800,8238.169280036083,Allequash,Epilimnion
8500,7994.540393334067,Allequash,Epilimnion
8452.38095238095,7822.277381863106,Allequash,Epilimnion
8642.857142857141,8234.758302792072,Allequash,Epilimnion
7800,9026.279712212025,Allequash,Epilimnion
8771.42857142857,7815.753490848673,Allequash,Epilimnion
8833.33333333333,8880.20728068473,Allequash,Epilimnion
8200,9119.811630607664,Allequash,Epilimnion
8938.09523809524,9985.191600963892,Allequash,Epilimnion
10171.4285714286,9244.780073815626,Allequash,Epilimnion
9600,8536.481588053412,Allequash,Epilimnion
8600,8377.460727595591,Allequash,Epilimnion
8500,7895.613612448178,Allequash,Epilimnion
8800,8020.452307649893,Allequash,Epilimnion
8600,8039.688992341681,Allequash,Epilimnion
8500,7511.540441795872,Allequash,Epilimnion
8957.14285714286,7469.61888381389,Allequash,Epilimnion
8871.42857142857,8059.537817981261,Allequash,Epilimnion
8030.7692307692305,8194.594633861014,Allequash,Epilimnion
8071.42857142857,8821.912262125477,Allequash,Epilimnion
10400,10395.841283615706,Allequash,Epilimnion
9700,9309.508236830068,Allequash,Epilimnion
9571.428571428569,8930.332184214252,Allequash,Epilimnion
8153.33333333333,7497.827115126536,Allequash,Epilimnion
8700,8761.648773775243,Allequash,Epilimnion
8600,7787.203293024561,Allequash,Epilimnion
8500,7499.467618532752,Allequash,Epilimnion
8861.904761904761,7855.372608979621,Allequash,Epilimnion
8800,8158.145975531501,Allequash,Epilimnion
8671.42857142857,8553.504221815607,Allequash,Epilimnion
8838.09523809524,8684.012641220279,Allequash,Epilimnion
8571.428571428569,9508.82250618236,Allequash,Epilimnion
11071.4285714286,9742.779987621285,Allequash,Epilimnion
9206.66666666667,8343.448407409991,Allequash,Epilimnion
